postal_code;income
19102;114844
19103;97940
19104;39526
19106;129779
19107;70382
19108;189539
19111;60441
19114;76076
19115;70388
19116;67558
19118;105667
19119;81609
19102;114844
19103;97940
19104;39526
19106;129779
19124;46100
19125;110842
19126;52847
19127;99792
19128;89639
19129;77225
19130;110436
19131;46057
19132;30974
19133;31756
19134;41849
19135;51817
19136;65499
19137;64401
19138;51586
19139;38701
19140;33149
19141;42461
19142;42812
19143;47964
19144;45727
19145;70374
19146;99702
19147;104190
19148;80469
19149;54679
19150;61257
19151;58046
19152;57966
19153;53434
19154;93479